Id,SalePrice
1461,132772.89
1462,164063.05
1463,195327.73
1464,204443.0
1465,196914.53
1466,175084.47
1467,177931.89
1468,162584.61
1469,205343.61
1470,120655.89
1471,178033.9
1472,100113.62
1473,105315.95
1474,138656.25
1475,112857.32
1476,363986.3
1477,261909.86
1478,292013.88
1479,296800.3
1480,490322.9
1481,347860.16
1482,204019.19
1483,186111.08
1484,161778.94
1485,186604.27
1486,192079.52
1487,329700.28
1488,227102.47
1489,203540.53
1490,259477.42
1491,193095.0
1492,90044.055
1493,186082.69
1494,300274.25
1495,270192.84
1496,239721.42
1497,181674.34
1498,173139.42
1499,158673.77
1500,161100.75
1501,184594.61
1502,138627.83
1503,318865.44
1504,240339.94
1505,232471.64
1506,195939.12
1507,253161.52
1508,204958.38
1509,162963.06
1510,148788.66
1511,152949.55
1512,175756.48
1513,140540.97
1514,158795.62
1515,184028.8
1516,150634.44
1517,177668.39
1518,121616.47
1519,205498.97
1520,131279.61
1521,136834.9
1522,176634.28
1523,115016.086
1524,125837.94
1525,121452.12
1526,106726.305
1527,111850.234
1528,123179.67
1529,155201.03
1530,184749.78
1531,106240.695
1532,102584.06
1533,155932.14
1534,117853.59
1535,158880.61
1536,113443.914
1537,51106.22
1538,148113.9
1539,190000.2
1540,83112.43
1541,149394.64
1542,141299.61
1543,227986.31
1544,96097.24
1545,115626.13
1546,128304.33
1547,137037.72
1548,133011.66
1549,115285.24
1550,125671.96
1551,103592.25
1552,149706.7
1553,135704.17
1554,118998.46
1555,164182.8
1556,74942.81
1557,115437.73
1558,93349.62
1559,35796.8
1560,151351.55
1561,144958.25
1562,129654.164
1563,125341.97
1564,149133.86
1565,152715.47
1566,234006.2
1567,76602.33
1568,229180.7
1569,137859.08
1570,132280.48
1571,118087.266
1572,143678.95
1573,231319.66
1574,108495.125
1575,236521.1
1576,233610.64
1577,174851.19
1578,153228.25
1579,156492.89
1580,189816.0
1581,141240.6
1582,128385.484
1583,290829.38
1584,215856.4
1585,140219.94
1586,79051.586
1587,103728.27
1588,145876.17
1589,97907.305
1590,119934.29
1591,102398.55
1592,114890.016
1593,125135.94
1594,127579.805
1595,101928.63
1596,230035.34
1597,207053.05
1598,226980.34
1599,161129.33
1600,160572.03
1601,60556.293
1602,125446.24
1603,70016.586
1604,252802.52
1605,236811.34
1606,167209.42
1607,171218.44
1608,207088.39
1609,172697.64
1610,144136.94
1611,140411.02
1612,169736.36
1613,172409.66
1614,109129.37
1615,92063.336
1616,82886.28
1617,92045.87
1618,131768.03
1619,136945.22
1620,150091.97
1621,138743.3
1622,124973.38
1623,248210.72
1624,200578.22
1625,122535.96
1626,160370.47
1627,195378.22
1628,286029.0
1629,181201.28
1630,393202.53
1631,243107.14
1632,264176.6
1633,169724.88
1634,181861.39
1635,167889.64
1636,157393.61
1637,207019.88
1638,184916.0
1639,186924.16
1640,234482.25
1641,178785.61
1642,250243.36
1643,221629.12
1644,247210.02
1645,197076.66
1646,153972.53
1647,142930.98
1648,129077.16
1649,130880.58
1650,121784.65
1651,122434.69
1652,105065.36
1653,109611.57
1654,144789.55
1655,136098.42
1656,146532.89
1657,147829.28
1658,136941.7
1659,122207.79
1660,158941.83
1661,447834.22
1662,417998.66
1663,376443.0
1664,619934.44
1665,302888.62
1666,311655.72
1667,406393.5
1668,327904.47
1669,297582.0
1670,348112.03
1671,266283.1
1672,433956.06
1673,294387.8
1674,244467.92
1675,200372.89
1676,203156.75
1677,222363.77
1678,480496.78
1679,392068.7
1680,345165.9
1681,246359.45
1682,330403.47
1683,185663.28
1684,172073.9
1685,171478.9
1686,168711.1
1687,167051.78
1688,188791.3
1689,190677.45
1690,187910.42
1691,179059.64
1692,259653.66
1693,168976.3
1694,172750.02
1695,161689.33
1696,269403.72
1697,169407.44
1698,327640.03
1699,320240.75
1700,257419.11
1701,259627.17
1702,247394.45
1703,251436.1
1704,280294.28
1705,236422.98
1706,307683.66
1707,222484.25
1708,205339.69
1709,260423.67
1710,219825.12
1711,275180.8
1712,267356.66
1713,287203.25
1714,236486.8
1715,214075.31
1716,181246.2
1717,163059.3
1718,121098.555
1719,207078.52
1720,214179.66
1721,149364.58
1722,108691.68
1723,148823.98
1724,187579.89
1725,235209.92
1726,182803.5
1727,159447.08
1728,158442.7
1729,173314.05
1730,146012.02
1731,114788.16
1732,129552.81
1733,110746.47
1734,110035.75
1735,109126.766
1736,114282.1
1737,287016.25
1738,265530.2
1739,240108.55
1740,208312.72
1741,192355.94
1742,179631.42
1743,175456.38
1744,363372.78
1745,216420.98
1746,160079.55
1747,221535.94
